flight_number,name,date_utc,success,rocket,launchpad,payloads,cores,landing_success,launch_date
1,FalconSat,2006-03-24T22:30:00.000Z,False,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,['5eb0e4b5b6c3bb0006eeb1e1'],"[{'core': '5e9e289df35918033d3b2623', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",0,2006-03-24
2,DemoSat,2007-03-21T01:10:00.000Z,False,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,['5eb0e4b6b6c3bb0006eeb1e2'],"[{'core': '5e9e289ef35918416a3b2624', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",0,2007-03-21
3,Trailblazer,2008-08-03T03:34:00.000Z,False,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"['5eb0e4b6b6c3bb0006eeb1e3', '5eb0e4b6b6c3bb0006eeb1e4']","[{'core': '5e9e289ef3591814873b2625', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",0,2008-08-03
4,RatSat,2008-09-28T23:15:00.000Z,True,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,['5eb0e4b7b6c3bb0006eeb1e5'],"[{'core': '5e9e289ef3591855dc3b2626', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2008-09-28
5,RazakSat,2009-07-13T03:35:00.000Z,True,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,['5eb0e4b7b6c3bb0006eeb1e6'],"[{'core': '5e9e289ef359184f103b2627', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2009-07-13
6,Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4b7b6c3bb0006eeb1e7'],"[{'core': '5e9e289ef359185f2b3b2628', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2010-06-04
7,COTS 1,2010-12-08T15:43:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']","[{'core': '5e9e289ef35918187c3b2629', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2010-12-08
8,COTS 2,2012-05-22T07:44:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bab6c3bb0006eeb1ea'],"[{'core': '5e9e289ef35918f39c3b262a', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2012-05-22
9,CRS-1,2012-10-08T00:35:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']","[{'core': '5e9e289ff3591821a73b262b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2012-10-08
10,CRS-2,2013-03-01T19:10:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bbb6c3bb0006eeb1ed'],"[{'core': '5e9e289ff3591884e03b262c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2013-03-01
11,CASSIOPE,2013-09-29T16:00:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,['5eb0e4bbb6c3bb0006eeb1ee'],"[{'core': '5e9e289ff359180ae23b262d', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}]",1,2013-09-29
12,SES-8,2013-12-03T22:41:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bbb6c3bb0006eeb1ef'],"[{'core': '5e9e289ff35918862c3b262e', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2013-12-03
13,Thaicom 6,2014-01-06T18:06:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bbb6c3bb0006eeb1f0'],"[{'core': '5e9e289ff3591878603b262f', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2014-01-06
14,CRS-3,2014-04-18T19:25:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bbb6c3bb0006eeb1f1'],"[{'core': '5e9e289ff3591829343b2630', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",1,2014-04-18
15,OG-2 Mission 1,2014-07-14T15:15:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bcb6c3bb0006eeb1f2'],"[{'core': '5e9e28a0f3591870a63b2631', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",1,2014-07-14
16,AsiaSat 8,2014-08-05T08:00:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bcb6c3bb0006eeb1f3'],"[{'core': '5e9e28a0f359186e2e3b2632', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2014-08-05
17,AsiaSat 6,2014-09-07T05:00:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bcb6c3bb0006eeb1f4'],"[{'core': '5e9e28a0f35918b1bc3b2633', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2014-09-07
18,CRS-4,2014-09-21T05:52:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4bcb6c3bb0006eeb1f5'],"[{'core': '5e9e28a0f359184a683b2634', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}]",1,2014-09-21
